Id_Tabla,Levdireccion,Levdirnum,Levpropietario,Levtelefono,Lev_Sticker,Levnombreestablecimiento,DistanciaEnMetros,Match
257,87%,100%,53%,0%,0%,52%,,1
258,83%,100%,43%,0%,0%,56%,24,1
259,90%,93%,46%,0%,0%,76%,11,1
260,83%,100%,47%,0%,100%,46%,6,1
261,94%,100%,78%,0%,0%,54%,4,1
262,63%,67%,71%,0%,0%,100%,28,1
263,86%,100%,59%,0%,0%,47%,14,1
264,100%,100%,47%,0%,0%,59%,7,1
265,97%,94%,48%,0%,0%,53%,13,1
266,98%,93%,60%,0%,0%,53%,24,1
267,100%,100%,38%,0%,0%,53%,,1
268,87%,100%,54%,0%,100%,50%,,1
269,100%,100%,76%,0%,0%,63%,,1
270,80%,100%,48%,0%,0%,100%,,1
271,97%,94%,48%,0%,0%,53%,13,1
272,76%,100%,53%,0%,0%,50%,24,1
273,97%,100%,45%,0%,0%,48%,,1
274,69%,88%,63%,0%,0%,100%,2,1
275,81%,100%,63%,0%,0%,50%,,1
276,100%,100%,48%,0%,0%,50%,31,1
277,73%,100%,49%,0%,0%,56%,17,1
278,94%,100%,48%,0%,0%,50%,4,1
279,100%,100%,39%,0%,0%,8%,9,1
280,100%,100%,46%,0%,0%,27%,4,1
281,86%,100%,44%,0%,0%,77%,20,1
282,90%,88%,84%,0%,100%,20%,1,1
283,100%,100%,47%,0%,0%,53%,29,1
284,88%,93%,96%,0%,0%,40%,40,1
285,61%,64%,52%,0%,0%,91%,12,1
286,61%,64%,60%,0%,0%,46%,27,1
287,100%,100%,67%,0%,0%,8%,34,1
288,75%,100%,51%,0%,0%,100%,1,1
289,92%,100%,53%,0%,100%,100%,16,1
290,84%,100%,48%,0%,0%,90%,,1
291,71%,92%,41%,0%,0%,60%,,1
292,73%,94%,50%,0%,0%,100%,7,1
293,96%,93%,52%,0%,0%,72%,6,1
294,96%,93%,54%,0%,0%,45%,9,1
295,100%,100%,51%,0%,0%,51%,,1
296,100%,71%,57%,0%,0%,59%,3,1
