Id_Tabla,Levdireccion,Levdirnum,Levpropietario,Levtelefono,Lev_Sticker,Levnombreestablecimiento,DistanciaEnMetros,Match
53074,90%,86%,48%,0%,0%,38%,15,0
53075,81%,81%,49%,0%,0%,54%,8,0
53076,60%,57%,38%,0%,0%,44%,22,0
53077,90%,86%,50%,0%,0%,59%,3,0
53078,70%,72%,51%,0%,0%,48%,17,0
53079,59%,57%,55%,0%,0%,59%,42,0
53080,80%,83%,53%,0%,0%,43%,25,0
53081,94%,88%,58%,0%,0%,43%,7,0
53082,73%,88%,47%,0%,0%,42%,11,0
53083,73%,88%,56%,0%,0%,53%,14,0
53084,79%,78%,54%,0%,0%,28%,39,0
53085,76%,72%,51%,0%,0%,50%,39,0
53086,91%,88%,57%,0%,0%,38%,16,0
53087,91%,88%,50%,0%,0%,30%,11,0
53088,82%,83%,44%,0%,0%,53%,6,0
53089,66%,67%,46%,0%,0%,53%,44,0
53090,58%,63%,44%,0%,0%,50%,41,0
53091,58%,63%,49%,0%,0%,53%,32,0
53092,58%,63%,52%,0%,0%,36%,30,0
53093,60%,63%,61%,0%,0%,39%,12,0
53094,58%,63%,57%,0%,0%,53%,13,0
53095,76%,83%,52%,0%,0%,5%,34,0
53096,79%,93%,50%,0%,0%,46%,11,0
53097,88%,86%,48%,0%,0%,54%,13,0
53098,88%,86%,48%,0%,0%,46%,29,0
53099,88%,86%,0%,0%,0%,48%,34,0
53100,90%,80%,48%,0%,0%,37%,11,0
53101,75%,88%,49%,0%,0%,43%,26,0
53102,76%,94%,44%,0%,0%,50%,17,0
53103,74%,88%,44%,0%,0%,35%,6,0
53104,61%,67%,47%,0%,0%,44%,37,0
53105,74%,63%,51%,0%,0%,43%,34,0
53106,71%,88%,53%,0%,0%,53%,43,0
53107,86%,88%,52%,0%,0%,46%,42,0
53108,95%,100%,54%,0%,0%,52%,36,0
53109,89%,88%,58%,0%,0%,47%,31,0
53110,63%,63%,52%,0%,0%,58%,30,0
53111,95%,88%,54%,0%,0%,65%,15,0
53112,92%,88%,47%,0%,0%,50%,23,0
53113,95%,88%,47%,0%,0%,46%,19,0
53114,74%,88%,53%,0%,0%,46%,18,0
53115,95%,88%,47%,0%,0%,46%,15,0
53116,43%,62%,43%,0%,0%,44%,29,0
53117,55%,67%,40%,0%,0%,18%,42,0
53118,73%,75%,38%,0%,0%,44%,43,0
53119,59%,64%,41%,0%,0%,63%,36,0
53120,88%,75%,49%,0%,0%,43%,25,0
53121,91%,88%,49%,0%,0%,43%,21,0
53122,91%,88%,47%,0%,0%,36%,24,0
53123,91%,88%,48%,0%,0%,63%,24,0
53124,91%,88%,46%,0%,0%,53%,24,0
53125,70%,71%,47%,0%,0%,48%,36,0
53126,91%,88%,52%,0%,0%,31%,22,0
53127,91%,88%,52%,0%,0%,67%,10,0
53128,91%,88%,62%,0%,0%,56%,12,0
53129,91%,88%,60%,0%,0%,67%,38,0
53130,88%,88%,43%,0%,0%,47%,44,0
53131,78%,83%,42%,0%,0%,38%,7,0
53132,88%,88%,64%,0%,0%,46%,12,0
53133,74%,89%,56%,0%,0%,41%,30,0
53134,59%,63%,58%,0%,0%,37%,41,0
53135,59%,63%,64%,0%,0%,46%,34,0
53136,87%,89%,62%,0%,0%,17%,,0
53137,72%,78%,56%,0%,0%,50%,19,0
53138,84%,78%,44%,0%,0%,59%,22,0
53139,63%,75%,45%,0%,0%,43%,11,0
53140,73%,75%,52%,0%,0%,49%,29,0
53141,73%,75%,51%,0%,0%,32%,45,0
53142,53%,64%,53%,0%,0%,56%,28,0
53143,73%,75%,46%,0%,0%,58%,38,0
53144,73%,75%,46%,0%,0%,44%,42,0
53145,95%,94%,53%,0%,0%,45%,13,0
53146,57%,63%,53%,0%,0%,45%,25,0
53147,76%,81%,59%,0%,0%,32%,38,0
53148,90%,86%,50%,0%,0%,38%,36,0
53149,69%,78%,59%,0%,0%,20%,45,0
53150,80%,83%,55%,0%,0%,12%,45,0
53151,82%,90%,47%,0%,0%,24%,,0
53152,73%,94%,47%,0%,0%,58%,,0
53153,72%,81%,47%,0%,0%,37%,17,0
53154,54%,61%,53%,0%,0%,44%,34,0
53155,57%,64%,43%,0%,0%,38%,5,0
53156,54%,57%,43%,0%,0%,38%,44,0
53157,62%,69%,47%,0%,0%,35%,44,0
53158,84%,78%,42%,0%,0%,17%,27,0
53159,82%,78%,45%,0%,0%,42%,18,0
53160,67%,69%,45%,0%,0%,42%,15,0
53161,56%,56%,53%,0%,0%,42%,44,0
53162,68%,81%,55%,0%,0%,56%,42,0
53163,74%,71%,52%,0%,0%,44%,22,0
53164,91%,80%,52%,0%,0%,51%,35,0
53165,81%,82%,52%,0%,0%,36%,,0
53166,59%,59%,65%,0%,0%,59%,2,0
53167,59%,59%,52%,0%,0%,36%,2,0
53168,64%,60%,41%,0%,0%,54%,18,0
53169,64%,53%,52%,0%,0%,45%,27,0
53170,64%,53%,55%,0%,0%,47%,32,0
53171,55%,59%,55%,0%,0%,50%,42,0
53172,57%,56%,46%,0%,0%,55%,42,0
53173,79%,73%,52%,0%,0%,38%,30,0
53174,60%,61%,46%,0%,0%,53%,34,0
53175,65%,67%,50%,0%,0%,45%,28,0
53176,58%,69%,41%,0%,0%,53%,44,0
53177,87%,86%,41%,0%,0%,53%,43,0
53178,93%,86%,44%,0%,0%,53%,8,0
53179,57%,63%,44%,0%,0%,53%,42,0
53180,87%,86%,58%,0%,0%,53%,40,0
53181,59%,63%,43%,0%,0%,53%,37,0
53182,62%,61%,46%,0%,0%,62%,42,0
53183,91%,94%,41%,0%,0%,53%,34,0
53184,88%,88%,45%,0%,0%,48%,9,0
53185,89%,88%,43%,0%,0%,48%,12,0
53186,62%,61%,47%,0%,0%,10%,45,0
53187,62%,61%,43%,0%,0%,50%,27,0
53188,80%,100%,38%,0%,0%,80%,,0
53189,98%,94%,0%,0%,0%,47%,5,0
53190,74%,74%,47%,0%,0%,45%,15,0
53191,95%,89%,63%,0%,0%,45%,11,0
53192,61%,63%,43%,0%,0%,48%,40,0
53193,73%,88%,46%,0%,0%,48%,38,0
53194,77%,69%,41%,0%,0%,54%,20,0
53195,80%,80%,44%,0%,0%,52%,,0
53196,76%,73%,41%,0%,0%,42%,25,0
53197,67%,67%,41%,0%,0%,52%,12,0
53198,93%,88%,52%,0%,0%,50%,2,0
53199,89%,82%,52%,0%,0%,50%,30,0
53200,58%,59%,55%,0%,0%,39%,35,0
53201,62%,60%,49%,0%,0%,40%,29,0
53202,78%,75%,52%,0%,0%,44%,22,0
53203,92%,94%,53%,0%,0%,19%,43,0
53204,88%,88%,39%,0%,0%,44%,42,0
53205,88%,88%,39%,0%,0%,53%,31,0
53206,83%,81%,45%,0%,0%,54%,13,0
53207,87%,88%,39%,0%,0%,44%,22,0
53208,87%,88%,47%,0%,0%,44%,25,0
53209,87%,88%,49%,0%,0%,70%,26,0
53210,87%,88%,48%,0%,0%,44%,34,0
53211,70%,75%,39%,0%,0%,46%,21,0
53212,53%,70%,53%,0%,0%,58%,14,0
53213,74%,82%,55%,0%,0%,46%,,0
53214,72%,78%,43%,0%,0%,53%,16,0
53215,61%,75%,58%,0%,0%,53%,33,0
53216,58%,67%,69%,0%,0%,53%,36,0
53217,58%,63%,54%,0%,0%,36%,32,0
53218,60%,63%,40%,0%,0%,57%,44,0
53219,65%,57%,52%,0%,0%,29%,12,0
53220,78%,75%,52%,0%,0%,29%,21,0
53221,69%,86%,61%,0%,0%,34%,33,0
53222,60%,71%,55%,0%,0%,29%,28,0
53223,59%,61%,50%,0%,0%,41%,29,0
53224,59%,67%,51%,0%,0%,41%,29,0
53225,64%,63%,50%,0%,0%,57%,31,0
53226,95%,94%,47%,0%,0%,60%,2,0
53227,57%,64%,39%,0%,0%,67%,29,0
53228,60%,63%,45%,0%,0%,22%,18,0
53229,60%,63%,39%,0%,0%,31%,29,0
53230,73%,78%,48%,0%,0%,33%,12,0
53231,88%,88%,44%,0%,0%,25%,13,0
53232,60%,63%,36%,0%,0%,36%,36,0
53233,84%,88%,58%,0%,0%,45%,15,0
53234,94%,89%,52%,0%,0%,48%,40,0
53235,94%,89%,58%,0%,0%,43%,12,0
53236,94%,89%,52%,0%,0%,42%,42,0
53237,67%,63%,45%,0%,0%,50%,31,0
53238,93%,88%,45%,0%,0%,46%,27,0
53239,93%,88%,45%,0%,0%,52%,26,0
53240,70%,69%,51%,0%,0%,61%,33,0
53241,76%,94%,56%,0%,0%,52%,25,0
53242,92%,88%,51%,0%,0%,37%,18,0
53243,81%,78%,56%,0%,0%,48%,19,0
53244,62%,61%,48%,0%,0%,52%,18,0
53245,62%,72%,58%,0%,0%,50%,26,0
53246,62%,67%,51%,0%,0%,56%,18,0
53247,81%,78%,48%,0%,0%,37%,19,0
53248,95%,94%,53%,0%,0%,50%,39,0
53249,80%,67%,47%,0%,0%,31%,25,0
53250,56%,67%,54%,0%,0%,41%,39,0
53251,95%,88%,54%,0%,0%,57%,39,0
53252,61%,63%,54%,0%,0%,57%,36,0
53253,62%,63%,50%,0%,0%,32%,38,0
53254,92%,88%,57%,0%,0%,62%,35,0
53255,81%,89%,62%,0%,0%,52%,,0
53256,60%,67%,55%,0%,0%,62%,33,0
53257,60%,67%,56%,0%,0%,50%,41,0
53258,60%,67%,55%,0%,0%,56%,35,0
53259,64%,63%,55%,0%,0%,45%,42,0
53260,81%,89%,55%,0%,0%,46%,,0
53261,74%,88%,56%,0%,0%,43%,30,0
53262,74%,88%,57%,0%,0%,44%,35,0
53263,100%,100%,57%,0%,0%,100%,17,0
53264,88%,89%,59%,0%,0%,57%,,0
53265,62%,67%,45%,0%,0%,44%,33,0
53266,57%,67%,56%,0%,0%,33%,41,0
53267,60%,67%,52%,0%,0%,36%,35,0
53268,67%,63%,45%,0%,0%,55%,42,0
53269,95%,88%,50%,0%,0%,51%,30,0
53270,79%,73%,47%,0%,0%,50%,38,0
53271,68%,68%,50%,0%,0%,28%,16,0
53272,58%,53%,53%,0%,0%,43%,26,0
53273,58%,53%,36%,0%,0%,48%,25,0
53274,68%,68%,46%,0%,0%,35%,16,0
53275,68%,68%,49%,0%,0%,28%,16,0
53276,68%,68%,46%,0%,0%,0%,16,0
53277,68%,69%,49%,0%,0%,50%,33,0
53278,61%,67%,49%,0%,0%,50%,41,0
53279,76%,72%,54%,0%,0%,42%,43,0
53280,82%,94%,54%,0%,0%,33%,14,0
53281,76%,81%,49%,0%,0%,50%,23,0
53282,70%,67%,42%,0%,0%,31%,33,0
53283,70%,67%,42%,0%,0%,31%,33,0
53284,81%,74%,50%,0%,0%,37%,44,0
53285,57%,63%,55%,0%,0%,55%,33,0
53286,79%,84%,55%,0%,0%,50%,41,0
53287,78%,88%,46%,0%,0%,58%,17,0
53288,71%,79%,38%,0%,0%,50%,10,0
53289,94%,88%,50%,0%,0%,51%,7,0
53290,91%,88%,50%,0%,0%,38%,18,0
53291,92%,88%,54%,0%,0%,43%,14,0
53292,80%,79%,57%,0%,0%,43%,27,0
53293,57%,63%,57%,0%,0%,43%,28,0
53294,57%,63%,57%,0%,0%,43%,25,0
53295,91%,88%,53%,0%,0%,51%,22,0
53296,91%,88%,53%,0%,0%,0%,42,0
53297,74%,78%,48%,0%,0%,56%,42,0
53298,91%,88%,53%,0%,0%,56%,13,0
53299,74%,78%,53%,0%,0%,38%,,0
53300,91%,88%,53%,0%,0%,53%,12,0
53301,70%,72%,53%,0%,0%,38%,6,0
53302,88%,80%,44%,0%,0%,42%,26,0
53303,93%,80%,62%,0%,0%,42%,4,0
53304,97%,87%,48%,0%,0%,30%,14,0
53305,91%,87%,49%,0%,0%,28%,36,0
53306,62%,59%,51%,0%,0%,42%,36,0
53307,60%,60%,46%,0%,0%,42%,9,0
53308,57%,61%,48%,0%,0%,0%,16,0
53309,60%,63%,40%,0%,0%,0%,43,0
53310,64%,69%,60%,0%,0%,53%,42,0
53311,80%,86%,62%,0%,0%,46%,26,0
53312,46%,53%,55%,0%,0%,47%,45,0
53313,71%,81%,55%,0%,0%,52%,45,0
53314,54%,74%,50%,0%,0%,52%,21,0
53315,59%,84%,55%,0%,0%,55%,19,0
53316,68%,69%,45%,0%,0%,53%,39,0
53317,95%,94%,44%,0%,0%,44%,17,0
53318,91%,88%,45%,0%,0%,50%,22,0
53319,91%,88%,38%,0%,0%,50%,8,0
53320,73%,63%,38%,0%,0%,43%,45,0
53321,84%,88%,51%,0%,0%,56%,26,0
53322,76%,80%,52%,0%,0%,56%,16,0
53323,65%,78%,42%,0%,0%,56%,14,0
53324,88%,88%,45%,0%,0%,56%,3,0
53325,88%,81%,59%,0%,0%,48%,8,0
53326,86%,80%,51%,0%,0%,50%,8,0
53327,67%,83%,45%,0%,0%,50%,13,0
53328,91%,88%,58%,0%,0%,50%,19,0
53329,91%,88%,52%,0%,0%,50%,43,0
53330,59%,61%,63%,0%,0%,50%,35,0
53331,61%,63%,58%,0%,0%,53%,43,0
53332,71%,64%,46%,0%,0%,38%,41,0
53333,58%,79%,44%,0%,0%,50%,38,0
53334,67%,78%,54%,0%,0%,52%,44,0
53335,67%,78%,53%,0%,0%,44%,42,0
53336,84%,78%,52%,0%,0%,56%,30,0
53337,92%,88%,52%,0%,0%,59%,41,0
53338,61%,63%,47%,0%,0%,42%,16,0
53339,61%,63%,43%,0%,0%,50%,45,0
53340,84%,78%,54%,0%,0%,46%,34,0
53341,66%,63%,43%,0%,0%,60%,18,0
53342,60%,61%,43%,0%,0%,60%,18,0
53343,70%,72%,44%,0%,0%,41%,15,0
53344,60%,61%,50%,0%,0%,67%,14,0
53345,63%,67%,48%,0%,0%,54%,22,0
53346,69%,70%,51%,0%,0%,55%,45,0
53347,66%,65%,49%,0%,0%,58%,41,0
53348,66%,65%,50%,0%,0%,54%,41,0
53349,82%,73%,50%,0%,0%,53%,39,0
53350,69%,70%,40%,0%,0%,32%,41,0
53351,91%,86%,38%,0%,0%,39%,,0
53352,69%,70%,44%,0%,0%,24%,25,0
53353,80%,82%,49%,0%,0%,43%,25,0
53354,77%,77%,51%,0%,0%,32%,25,0
53355,61%,60%,54%,0%,0%,50%,17,0
53356,61%,60%,50%,0%,0%,56%,17,0
53357,59%,59%,46%,0%,0%,56%,17,0
53358,62%,64%,50%,0%,0%,51%,17,0
53359,59%,65%,50%,0%,0%,53%,8,0
53360,55%,60%,50%,0%,0%,58%,18,0
53361,76%,80%,47%,0%,0%,39%,,0
53362,69%,70%,44%,0%,0%,52%,26,0
53363,70%,81%,43%,0%,0%,60%,32,0
53364,78%,73%,50%,0%,0%,46%,44,0
53365,70%,67%,50%,0%,0%,36%,13,0
53366,61%,59%,47%,0%,0%,37%,39,0
53367,64%,67%,47%,0%,0%,37%,31,0
53368,87%,80%,47%,0%,0%,47%,29,0
53369,91%,87%,47%,0%,0%,57%,22,0
53370,91%,87%,47%,0%,0%,32%,45,0
53371,75%,76%,58%,0%,0%,35%,37,0
53372,92%,87%,47%,0%,0%,58%,8,0
53373,72%,68%,46%,0%,0%,67%,8,0
53374,88%,80%,56%,0%,0%,43%,28,0
53375,74%,72%,47%,0%,0%,51%,7,0
53376,61%,59%,44%,0%,0%,50%,39,0
53377,64%,63%,45%,0%,0%,43%,42,0
53378,74%,78%,46%,0%,0%,53%,10,0
53379,91%,88%,45%,0%,0%,50%,10,0
53380,91%,88%,41%,0%,0%,44%,28,0
53381,91%,88%,41%,0%,0%,47%,20,0
53382,82%,78%,54%,0%,0%,54%,16,0
53383,87%,89%,37%,0%,0%,56%,1,0
53384,94%,88%,45%,0%,0%,33%,14,0
53385,71%,57%,38%,0%,0%,43%,41,0
53386,75%,64%,39%,0%,0%,43%,30,0
53387,80%,73%,55%,0%,0%,53%,31,0
53388,77%,73%,48%,0%,0%,60%,25,0
53389,68%,69%,55%,0%,0%,56%,33,0
53390,59%,61%,59%,0%,0%,54%,27,0
53391,76%,94%,53%,0%,0%,47%,42,0
53392,75%,78%,50%,0%,0%,31%,28,0
53393,84%,79%,41%,0%,0%,40%,8,0
53394,82%,79%,49%,0%,0%,42%,27,0
53395,61%,63%,49%,0%,0%,50%,42,0
53396,60%,63%,44%,0%,0%,35%,23,0
53397,66%,69%,42%,0%,0%,35%,20,0
53398,76%,88%,40%,0%,0%,49%,40,0
53399,76%,88%,36%,0%,0%,49%,35,0
53400,68%,88%,48%,0%,0%,35%,27,0
53401,68%,94%,42%,0%,0%,35%,27,0
53402,67%,69%,44%,0%,0%,35%,29,0
53403,65%,63%,38%,0%,0%,35%,13,0
53404,63%,69%,50%,0%,0%,65%,43,0
53405,82%,88%,43%,0%,0%,47%,19,0
53406,59%,63%,53%,0%,0%,39%,42,0
53407,91%,88%,48%,0%,0%,8%,16,0
53408,81%,89%,50%,0%,0%,10%,16,0
53409,86%,81%,52%,0%,0%,13%,25,0
53410,91%,88%,55%,0%,0%,13%,17,0
53411,50%,63%,42%,0%,0%,50%,43,0
53412,91%,88%,45%,0%,0%,54%,30,0
53413,64%,63%,41%,0%,0%,54%,24,0
53414,84%,71%,54%,0%,0%,42%,21,0
53415,79%,78%,57%,0%,0%,41%,24,0
53416,75%,94%,44%,0%,0%,41%,40,0
53417,79%,78%,51%,0%,0%,41%,24,0
53418,82%,78%,44%,0%,0%,56%,27,0
53419,84%,78%,41%,0%,0%,38%,27,0
53420,97%,94%,44%,0%,0%,50%,34,0
53421,85%,83%,44%,0%,0%,52%,24,0
53422,60%,63%,55%,0%,0%,50%,45,0
53423,74%,81%,45%,0%,0%,53%,35,0
53424,61%,63%,46%,0%,0%,50%,41,0
53425,60%,63%,41%,0%,0%,35%,26,0
53426,61%,63%,53%,0%,0%,40%,28,0
53427,60%,63%,55%,0%,0%,50%,45,0
53428,97%,94%,58%,0%,0%,68%,10,0
53429,93%,88%,60%,0%,0%,46%,11,0
53430,68%,69%,46%,0%,0%,47%,40,0
53431,68%,69%,44%,0%,0%,52%,40,0
53432,88%,88%,44%,0%,0%,48%,28,0
53433,78%,88%,41%,0%,0%,48%,35,0
53434,73%,72%,41%,0%,0%,48%,40,0
53435,63%,60%,59%,0%,0%,55%,24,0
53436,82%,77%,53%,0%,0%,52%,43,0
53437,68%,67%,50%,0%,0%,50%,42,0
53438,85%,77%,50%,0%,0%,50%,35,0
53439,85%,69%,50%,0%,0%,50%,27,0
53440,72%,67%,50%,0%,0%,42%,24,0
53441,52%,53%,50%,0%,0%,73%,17,0
53442,56%,52%,41%,0%,0%,44%,41,0
53443,82%,88%,57%,0%,0%,54%,27,0
53444,82%,88%,51%,0%,0%,50%,27,0
53445,84%,88%,48%,0%,0%,57%,24,0
53446,62%,69%,38%,0%,0%,53%,41,0
53447,54%,56%,43%,0%,0%,46%,32,0
53448,71%,88%,43%,0%,0%,53%,33,0
53449,61%,63%,33%,0%,0%,46%,33,0
53450,54%,56%,42%,0%,0%,37%,32,0
53451,84%,81%,45%,0%,0%,47%,29,0
53452,59%,57%,45%,0%,0%,0%,22,0
53453,55%,61%,62%,0%,0%,44%,44,0
53454,61%,69%,48%,0%,0%,44%,43,0
53455,91%,88%,48%,0%,0%,44%,14,0
53456,81%,88%,42%,0%,0%,44%,27,0
53457,61%,61%,48%,0%,0%,59%,22,0
53458,67%,75%,53%,0%,0%,59%,19,0
53459,62%,75%,47%,0%,0%,58%,9,0
53460,58%,69%,53%,0%,0%,44%,17,0
53461,91%,94%,49%,0%,0%,58%,7,0
53462,62%,75%,63%,0%,0%,47%,25,0
53463,58%,60%,49%,0%,0%,57%,39,0
53464,89%,80%,45%,0%,0%,57%,29,0
53465,56%,53%,60%,0%,0%,57%,30,0
53466,64%,63%,54%,0%,0%,53%,39,0
53467,78%,87%,57%,0%,0%,38%,27,0
53468,71%,78%,55%,0%,0%,35%,12,0
53469,64%,63%,58%,0%,0%,50%,29,0
53470,95%,89%,43%,0%,100%,38%,23,0
53471,58%,61%,51%,0%,0%,47%,44,0
53472,90%,78%,49%,0%,0%,38%,,0
53473,86%,88%,55%,0%,0%,54%,15,0
53474,61%,63%,42%,0%,0%,53%,42,0
53475,72%,88%,51%,0%,0%,60%,29,0
53476,61%,63%,47%,0%,0%,45%,29,0
53477,61%,69%,47%,0%,0%,48%,18,0
53478,80%,93%,44%,0%,0%,50%,13,0
53479,54%,72%,53%,0%,0%,52%,41,0
53480,63%,72%,0%,0%,0%,54%,15,0
53481,77%,78%,56%,0%,0%,63%,24,0
53482,80%,78%,56%,0%,0%,63%,18,0
53483,80%,94%,56%,0%,0%,58%,13,0
53484,80%,88%,58%,0%,0%,63%,14,0
53485,80%,88%,53%,0%,0%,52%,14,0
53486,79%,89%,43%,0%,0%,57%,4,0
53487,54%,60%,60%,0%,0%,34%,14,0
53488,78%,72%,61%,0%,0%,50%,37,0
53489,78%,72%,52%,0%,0%,47%,37,0
53490,87%,81%,52%,0%,0%,49%,37,0
53491,78%,78%,52%,0%,0%,56%,39,0
53492,78%,78%,52%,0%,0%,35%,39,0
53493,94%,94%,52%,0%,0%,65%,12,0
53494,87%,81%,44%,0%,0%,34%,41,0
53495,81%,78%,42%,0%,0%,58%,15,0
53496,81%,78%,60%,0%,0%,34%,16,0
53497,58%,63%,0%,0%,0%,8%,18,0
53498,84%,89%,52%,0%,0%,15%,9,0
53499,91%,81%,57%,0%,0%,47%,26,0
53500,94%,88%,46%,0%,0%,52%,1,0
53501,59%,63%,46%,0%,0%,47%,45,0
53502,40%,63%,60%,0%,0%,48%,36,0
53503,62%,67%,42%,0%,0%,36%,11,0
53504,81%,89%,53%,0%,0%,46%,31,0
53505,74%,78%,37%,0%,0%,48%,29,0
53506,81%,89%,48%,0%,0%,39%,29,0
53507,72%,71%,42%,0%,0%,48%,2,0
53508,86%,81%,43%,0%,0%,47%,28,0
53509,86%,81%,44%,0%,0%,44%,25,0
53510,86%,81%,37%,0%,0%,50%,12,0
53511,91%,88%,38%,0%,0%,41%,11,0
53512,63%,67%,39%,0%,0%,35%,42,0
53513,86%,81%,43%,0%,0%,42%,37,0
53514,78%,83%,48%,0%,0%,50%,39,0
53515,76%,81%,45%,0%,0%,50%,13,0
53516,71%,73%,45%,0%,0%,63%,21,0
53517,92%,88%,49%,0%,0%,41%,11,0
53518,79%,81%,53%,0%,0%,51%,33,0
53519,72%,72%,51%,0%,0%,43%,27,0
53520,57%,53%,40%,0%,0%,56%,35,0
53521,57%,59%,53%,0%,0%,52%,26,0
53522,75%,88%,55%,0%,0%,52%,40,0
53523,56%,63%,56%,0%,0%,13%,8,0
53524,84%,81%,43%,0%,0%,50%,40,0
53525,73%,88%,54%,0%,0%,55%,24,0
53526,82%,88%,46%,0%,0%,55%,32,0
53527,82%,86%,51%,0%,0%,48%,27,0
53528,73%,80%,58%,0%,0%,0%,45,0
53529,62%,78%,45%,0%,0%,43%,7,0
53530,67%,80%,46%,0%,0%,42%,28,0
53531,74%,79%,42%,0%,0%,54%,45,0
53532,74%,80%,46%,0%,0%,42%,40,0
53533,71%,87%,50%,0%,0%,0%,21,0
53534,64%,65%,46%,0%,0%,40%,21,0
53535,77%,70%,51%,0%,0%,0%,27,0
53536,86%,88%,41%,0%,0%,52%,35,0
53537,59%,63%,47%,0%,0%,61%,30,0
53538,89%,94%,44%,0%,0%,48%,18,0
53539,85%,94%,44%,0%,0%,50%,32,0
53540,86%,80%,52%,0%,0%,43%,8,0
53541,89%,87%,50%,0%,0%,43%,43,0
53542,61%,53%,50%,0%,0%,41%,11,0
53543,54%,53%,67%,0%,0%,43%,35,0
53544,94%,87%,50%,0%,0%,42%,13,0
53545,92%,94%,50%,0%,0%,56%,11,0
53546,89%,94%,50%,0%,0%,33%,31,0
53547,86%,88%,50%,0%,0%,57%,36,0
53548,48%,50%,57%,0%,0%,63%,31,0
53549,64%,63%,45%,0%,0%,50%,39,0
53550,65%,70%,51%,0%,0%,50%,22,0
53551,48%,75%,53%,0%,0%,0%,27,0
53552,92%,88%,55%,0%,0%,47%,44,0
53553,58%,63%,40%,0%,0%,50%,38,0
53554,87%,86%,50%,0%,0%,32%,28,0
53555,69%,75%,61%,0%,0%,32%,40,0
53556,64%,63%,41%,0%,0%,47%,36,0
53557,65%,69%,51%,0%,0%,27%,19,0
53558,77%,88%,50%,0%,0%,35%,12,0
53559,61%,63%,55%,0%,0%,58%,41,0
53560,58%,61%,0%,0%,0%,29%,29,0
53561,78%,83%,43%,0%,0%,52%,1,0
53562,60%,63%,42%,0%,0%,56%,45,0
53563,88%,88%,47%,0%,0%,59%,15,0
53564,90%,81%,47%,0%,0%,34%,41,0
53565,56%,61%,51%,0%,0%,56%,45,0
53566,68%,63%,57%,0%,0%,46%,35,0
53567,76%,75%,47%,0%,0%,60%,39,0
53568,80%,78%,47%,0%,0%,46%,13,0
53569,78%,81%,53%,0%,0%,50%,23,0
53570,86%,88%,54%,0%,0%,50%,31,0
53571,94%,93%,54%,0%,0%,65%,31,0
53572,81%,75%,59%,0%,0%,52%,16,0
53573,100%,100%,69%,0%,0%,50%,3,0
53574,91%,86%,52%,0%,0%,45%,20,0
53575,74%,57%,56%,0%,0%,58%,44,0
53576,56%,57%,55%,0%,0%,50%,35,0
53577,73%,64%,56%,0%,0%,50%,41,0
53578,91%,86%,56%,0%,0%,52%,22,0
53579,97%,93%,52%,0%,0%,54%,3,0
53580,90%,84%,47%,0%,0%,62%,8,0
53581,81%,79%,54%,0%,0%,53%,28,0
53582,89%,88%,41%,0%,0%,43%,14,0
53583,72%,88%,48%,0%,0%,43%,9,0
53584,72%,69%,64%,0%,0%,43%,35,0
53585,72%,88%,38%,0%,0%,61%,19,0
53586,72%,88%,46%,0%,0%,50%,25,0
53587,72%,88%,50%,0%,0%,43%,35,0
53588,60%,67%,49%,0%,0%,44%,41,0
53589,90%,86%,53%,0%,0%,52%,3,0
53590,72%,75%,53%,0%,0%,52%,3,0
53591,67%,75%,57%,0%,0%,48%,36,0
53592,65%,75%,50%,0%,0%,50%,29,0
53593,65%,75%,53%,0%,0%,50%,42,0
53594,77%,86%,51%,0%,0%,50%,37,0
53595,69%,86%,53%,0%,0%,49%,32,0
53596,93%,88%,53%,0%,0%,50%,31,0
53597,93%,88%,58%,0%,0%,53%,16,0
53598,93%,88%,58%,0%,0%,47%,15,0
53599,93%,88%,55%,0%,0%,46%,13,0
53600,87%,75%,52%,0%,0%,41%,33,0
53601,97%,94%,62%,0%,0%,41%,14,0
53602,71%,76%,57%,0%,100%,45%,1,0
53603,56%,61%,40%,0%,0%,52%,44,0
53604,56%,63%,40%,0%,0%,55%,36,0
53605,58%,63%,43%,0%,0%,55%,26,0
53606,58%,63%,40%,0%,0%,54%,44,0
53607,85%,81%,40%,0%,0%,55%,41,0
53608,74%,68%,40%,0%,0%,55%,29,0
53609,88%,81%,40%,0%,0%,55%,29,0
53610,74%,68%,40%,0%,0%,55%,29,0
53611,68%,61%,44%,0%,0%,45%,36,0
53612,80%,81%,29%,0%,0%,53%,12,0
53613,95%,94%,53%,0%,0%,27%,13,0
53614,73%,75%,44%,0%,0%,53%,33,0
53615,95%,94%,45%,0%,0%,46%,13,0
53616,76%,83%,0%,0%,0%,58%,18,0
53617,59%,63%,37%,0%,0%,0%,39,0
53618,55%,75%,37%,0%,0%,42%,24,0
53619,77%,81%,37%,0%,0%,56%,23,0
53620,77%,81%,47%,0%,0%,58%,23,0
53621,63%,72%,53%,0%,0%,53%,23,0
53622,79%,84%,46%,0%,0%,50%,,0
53623,70%,73%,51%,0%,0%,44%,15,0
53624,61%,59%,48%,0%,0%,52%,38,0
53625,64%,67%,48%,0%,0%,52%,29,0
53626,87%,80%,48%,0%,0%,53%,31,0
53627,75%,71%,54%,0%,0%,43%,39,0
53628,88%,80%,48%,0%,0%,57%,10,0
53629,72%,68%,47%,0%,0%,55%,10,0
53630,88%,80%,51%,0%,0%,45%,26,0
