id,portafolio,y,x,ventas,canastas
166,1072,10.92590189,-74.80739198,13.30468577,38
167,9004,10.92550833,-74.80714605,12.76568986,65
168,4163,10.95152,-74.80972833,12.76568986,58
169,3941,10.93312292,-74.83042582,12.76568986,45
170,25505,10.93186363,-74.82724451,12.76568986,83
171,972,10.939805,-74.80033167,12.07254125,39
172,27027,10.93798659,-74.80576741,13.81551106,77
173,19550,10.93651667,-74.80577667,12.76568986,78
174,5255,10.93638117,-74.80634198,13.81551106,39
175,17184,10.93251973,-74.82457363,13.30468577,72
176,10546,10.93664833,-74.81609333,13.81551106,66
177,4058,10.93677333,-74.81323667,13.30468577,64
178,27992,10.93813171,-74.81554538,13.30468577,81
179,21985,10.93967647,-74.81456526,12.76568986,75
180,14034,10.93777326,-74.81434327,12.76568986,73
181,629,10.92600333,-74.81797258,13.30468577,37
182,416,10.97845556,-74.8467572,12.76568986,34
183,12722,10.9757983,-74.8488433,12.76568986,74
184,27493,10.92889166,-74.82304396,12.76568986,82
185,25438,10.97709312,-74.8470467,13.81551106,79
186,24814,10.93347833,-74.82343833,13.30468577,76
187,9369,10.92778999,-74.81155239,13.30468577,67
188,26172,10.92790572,-74.8117125,13.30468577,76
189,839,10.93253082,-74.80132214,12.76568986,38
190,18448,10.92795819,-74.81225449,12.76568986,69
191,30235,10.9294666,-74.81298002,13.30468577,82
192,5239,10.92856254,-74.81083192,13.30468577,45
193,8848,10.93037813,-74.81161608,12.76568986,65
194,6220,10.92975,-74.81091333,12.07254125,56
195,18450,10.93340179,-74.81168375,13.30468577,72
196,1147,10.93169541,-74.81132895,13.81551106,41
197,10022,10.94059105,-74.80874016,13.30468577,67
198,1147,10.94228124,-74.80810423,13.30468577,39
199,28370,10.96952481,-74.82430795,13.81551106,86
200,838,10.92516449,-74.82515268,13.30468577,38
201,27878,10.96055287,-74.84204576,13.81551106,75
202,7878,10.97424379,-74.8430437,13.30468577,73
203,720,10.95992763,-74.84195618,13.30468577,32
204,28361,10.97228455,-74.82738117,12.76568986,85
205,15210,10.96411268,-74.80691337,13.81551106,71
206,19405,10.97110094,-74.83017664,13.30468577,72
207,19014,10.9659856,-74.80911072,13.30468577,81
208,25474,10.94938435,-74.82444495,13.81551106,76
209,27367,10.94945569,-74.82347985,13.30468577,75
210,26229,10.96348192,-74.83269776,12.76568986,72
211,21396,10.95074317,-74.83219117,13.30468577,80
212,14405,10.96813005,-74.83198301,13.81551106,71
213,24956,10.96796251,-74.83339742,13.81551106,76
214,13130,10.96923608,-74.83151391,13.30468577,76
215,14080,10.94957833,-74.83148,13.30468577,61
216,13831,10.96005167,-74.827725,13.81551106,73
217,29326,10.96521112,-74.8287107,12.07254125,80
218,19452,10.95186722,-74.81588848,12.07254125,70
219,30963,10.96484312,-74.82740355,13.81551106,88
220,3695,10.950684,-74.823519,13.30468577,52
221,7817,10.955962,-74.808568,13.30468577,70
222,16193,10.946437,-74.778492,13.81551106,83
223,6322,10.954656,-74.770168,12.76568986,57
224,17839,10.94546,-74.76356833,13.81551106,79
225,6768,10.95100167,-74.77167167,12.76568986,68
226,13576,10.96185965,-74.77331473,13.30468577,69
227,31230,10.93549777,-74.79083374,13.81551106,94
228,28371,10.937151,-74.79146221,13.81551106,89
229,6055,10.93178146,-74.79217567,12.76568986,62
230,26174,10.95548614,-74.78329007,13.30468577,83
231,12555,10.95348167,-74.76878333,13.30468577,58
232,11231,11.04352754,-74.82905695,12.76568986,61
233,25306,11.03879384,-74.82765792,12.76568986,76
234,28981,10.92684381,-74.80715204,12.76568986,77
235,411,10.93984746,-74.80020837,13.81551106,38
236,27506,10.93170667,-74.8062,13.30468577,80
237,407,10.93384148,-74.82998619,13.30468577,37
238,22642,10.93049833,-74.82389333,12.07254125,56
239,20022,10.93351378,-74.821044,12.76568986,73
240,21411,10.93414728,-74.81925334,13.30468577,74
241,0,10.93216621,-74.8192633,12.76568986,25
242,30951,10.93571667,-74.80238667,13.30468577,87
243,15783,10.9497489,-74.8090315,13.30468577,70
244,5696,10.92871274,-74.82110074,12.76568986,52
245,28496,10.92735085,-74.82177862,12.76568986,71
246,8323,10.92687444,-74.82046792,12.76568986,56
247,26677,10.9739206,-74.8102731,12.76568986,77
248,3258,10.94009747,-74.83143422,12.07254125,45
249,28100,10.95222573,-74.83096699,13.81551106,81
250,19828,10.95221333,-74.83008,13.81551106,81
251,407,10.93227167,-74.80134333,13.81551106,36
252,13257,11.02320343,-74.80985229,13.30468577,59
253,28296,10.95648252,-74.77553147,13.81551106,82
254,11,10.96904,-74.77322167,12.76568986,33
255,13751,10.9619278,-74.77290847,13.81551106,68
256,20857,10.96239976,-74.82439622,13.81551106,81
257,6940,10.965764,-74.84213264,12.76568986,52
258,16242,10.96665294,-74.84209556,13.30468577,64
259,407,10.95775291,-74.82384182,12.76568986,34
260,0,10.97287,-74.82636167,12.76568986,32
261,11,10.97411333,-74.82581833,12.76568986,34
262,8307,10.968705,-74.83735667,12.76568986,61
263,27920,10.93075667,-74.79670333,13.30468577,75
264,398,10.93038667,-74.79565667,12.76568986,33
265,28926,10.96534398,-74.80692766,13.30468577,76
266,12164,10.95132333,-74.77990667,13.81551106,61
267,462,10.94478026,-74.80358834,13.81551106,38
268,25488,10.94921505,-74.80425357,13.30468577,79
269,18193,10.94313451,-74.80336188,13.81551106,62
270,166,10.9434212,-74.8030677,12.76568986,40
271,1072,10.944365,-74.80198333,12.76568986,40
272,22440,10.94593675,-74.80615625,13.81551106,81
273,26593,10.9427785,-74.80393144,13.30468577,72
274,5051,10.92321985,-74.81214382,12.76568986,61
275,779,10.92565781,-74.80960059,12.07254125,38
276,965,10.9242,-74.81178333,13.81551106,37
277,26527,10.94187803,-74.79462162,12.76568986,73
278,27951,10.92725787,-74.80492383,13.30468577,78
279,19014,10.92921118,-74.80959242,12.76568986,81
280,30972,10.94154742,-74.78640051,13.81551106,87
281,11,10.93988523,-74.78829342,13.81551106,31
282,31152,10.94090247,-74.79732531,12.76568986,94
283,18659,10.92646151,-74.81003314,12.76568986,73
284,27558,10.94027505,-74.79043439,13.30468577,89
285,1081,10.94130679,-74.79907568,13.81551106,39
286,30973,10.94064456,-74.79104287,12.76568986,88
287,22150,10.92799794,-74.80894156,12.76568986,77
288,1069,10.929165,-74.80435333,13.30468577,38
289,27536,10.93668602,-74.80573407,12.76568986,77
290,16122,10.93983759,-74.82415412,12.76568986,76
291,19309,10.93339833,-74.80450667,13.30468577,71
292,23218,10.94259065,-74.82450404,13.81551106,68
293,25514,10.92938209,-74.80603266,13.30468577,87
294,12026,10.92725167,-74.80597167,13.30468577,64
295,866,10.94727688,-74.80730501,13.30468577,46
296,797,10.970775,-74.84284333,13.30468577,38
297,6370,10.94023182,-74.81251359,13.81551106,61
298,27180,10.94629413,-74.80829606,13.30468577,76
299,27818,10.96547333,-74.83494167,12.76568986,77
300,14105,10.96763468,-74.84245384,12.76568986,65
301,972,10.93473667,-74.80187167,13.81551106,39
302,29346,10.93537577,-74.81924918,13.81551106,77
303,27690,10.93476801,-74.803929,12.76568986,74
304,31190,10.93483333,-74.80276667,12.76568986,84
305,407,10.93348667,-74.80238167,13.30468577,33
306,5480,10.93498731,-74.80431229,12.76568986,54
307,972,10.93629287,-74.79679855,13.30468577,40
